id,started_at,label,segment_time,playlist_size,sync_count,throttle_kbps,protocol,startup_ms,user_agent
1,2026-08-24 12:27:44.099426-04,"seg=2s, sync=3",2,6,3,,hls,544,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
2,2026-08-24 12:48:01.594775-04,"seg=4s, sync=3",4,6,3,,hls,482,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
3,2026-08-24 13:01:47.579228-04,"seg=6s, sync=3",6,6,3,,hls,435,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
4,2026-08-24 13:14:33.395648-04,"seg=10s, sync=3",10,6,3,,hls,434,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
5,2026-08-24 13:43:23.924128-04,"seg=6s, sync=1",6,6,1,,hls,478,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
6,2026-08-24 13:49:57.406761-04,"seg=6s, sync=4",6,6,4,,hls,447,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
7,2026-08-24 14:06:14.098585-04,"seg=6s, sync=3, 2600kbps",6,6,3,2600,hls,761,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
8,2026-08-24 14:19:00.966197-04,"seg=6s, sync=3, 2000kbps",6,6,3,2000,hls,403,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
9,2026-08-24 14:26:05.606943-04,"seg=6s, sync=3, 1500kbps",6,6,3,1500,hls,449,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
10,2026-08-24 14:32:48.577376-04,"seg=6s, sync=3",6,6,3,,hls,435,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
11,2026-08-24 17:26:45.707577-04,"seg=6s, sync=3, 3200kbps",6,6,3,3200,hls,2438,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
12,2026-08-24 17:33:18.05864-04,"seg=6s, sync=3, 2720kbps",6,6,3,2720,hls,3488,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
13,2026-08-24 17:40:17.380901-04,"seg=6s, sync=3, 2560kbps",6,6,3,2560,hls,3387,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
14,2026-08-24 17:46:49.747284-04,"seg=6s, sync=3, 2240kbps",6,6,3,2240,hls,3429,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
