id,run_id,recorded_at,latency_s,buffer_ahead_s,dropped_frames,total_frames,stall_count,playback_rate
1,1,2026-08-24 12:27:44.508187-04,11.424,5.546978,0,17,1,1.05
2,1,2026-08-24 12:27:45.510396-04,11.372,4.497877,0,49,1,1.05
3,1,2026-08-24 12:27:46.509964-04,11.326,7.433136,0,80,1,1.05
4,1,2026-08-24 12:27:47.50762-04,11.274,6.382478,0,112,1,1.05
5,1,2026-08-24 12:27:48.508791-04,11.227,7.335099,0,143,1,1.05
6,1,2026-08-24 12:27:49.507204-04,11.176,6.284251,0,175,1,1.05
7,1,2026-08-24 12:27:50.506258-04,11.138,7.246916,0,206,1,1.05
8,1,2026-08-24 12:27:51.50906-04,11.088,6.196334,0,238,1,1.05
9,1,2026-08-24 12:27:52.516027-04,11.02,7.126776,0,269,1,1.05
10,1,2026-08-24 12:27:53.507565-04,10.97,6.078874,0,300,1,1.05
11,1,2026-08-24 12:27:54.509866-04,10.924,7.032327,0,332,1,1.05
12,1,2026-08-24 12:27:55.510527-04,10.873,5.980424,0,364,1,1.05
13,1,2026-08-24 12:27:56.508861-04,10.827,6.934643,0,395,1,1.05
14,1,2026-08-24 12:27:57.50831-04,10.783,5.88589,0,426,1,1.05
15,1,2026-08-24 12:27:58.508196-04,10.742,6.849566,0,458,1,1.05
16,1,2026-08-24 12:27:59.510262-04,10.674,5.798507,0,490,1,1.05
17,1,2026-08-24 12:28:00.507666-04,10.623,6.725771,0,521,1,1.05
18,1,2026-08-24 12:28:01.50634-04,10.576,5.673513,0,553,1,1.05
19,1,2026-08-24 12:28:02.508519-04,10.523,6.626152,0,584,1,1.05
20,1,2026-08-24 12:28:03.508766-04,10.477,5.575431,0,616,1,1.05
21,1,2026-08-24 12:28:04.508043-04,10.426,6.50656,0,647,1,1.05
22,1,2026-08-24 12:28:05.506746-04,10.362,5.465084,0,679,1,1.05
23,1,2026-08-24 12:28:06.508362-04,10.31,6.417379,0,710,1,1.05
24,1,2026-08-24 12:28:07.512797-04,10.265,5.367821,0,742,1,1.05
25,1,2026-08-24 12:28:08.509337-04,10.214,6.321975,0,773,1,1.05
26,1,2026-08-24 12:28:09.527354-04,10.169,5.27245,0,805,1,1.05
